"Step","EXP00009 - train/loss","EXP00009 - train/loss__MIN","EXP00009 - train/loss__MAX"
"1","3.19074","3.19074","3.19074"
"2","1.89882","1.89882","1.89882"
"3","1.51953","1.51953","1.51953"
"4","1.35805","1.35805","1.35805"
"5","1.11123","1.11123","1.11123"
"6","0.99698","0.99698","0.99698"
"7","0.93787","0.93787","0.93787"
"8","0.88104","0.88104","0.88104"
"9","0.83056","0.83056","0.83056"
"10","0.81262","0.81262","0.81262"
"11","0.77013","0.77013","0.77013"
"12","0.75517","0.75517","0.75517"
"13","0.75311","0.75311","0.75311"
"14","0.72439","0.72439","0.72439"
"15","0.7115","0.7115","0.7115"
"16","0.68826","0.68826","0.68826"
"17","0.69962","0.69962","0.69962"
"18","0.67106","0.67106","0.67106"
"19","0.66586","0.66586","0.66586"
"20","0.66745","0.66745","0.66745"
"21","0.65178","0.65178","0.65178"
"22","0.65048","0.65048","0.65048"
"23","0.64534","0.64534","0.64534"
"24","0.6351","0.6351","0.6351"
"25","0.63487","0.63487","0.63487"
"26","0.62669","0.62669","0.62669"
"27","0.62647","0.62647","0.62647"
"28","0.63082","0.63082","0.63082"
"29","0.6196","0.6196","0.6196"
"30","0.6138","0.6138","0.6138"
"31","0.62173","0.62173","0.62173"
"32","0.61545","0.61545","0.61545"
"33","0.61222","0.61222","0.61222"
"34","0.61245","0.61245","0.61245"
"35","0.60224","0.60224","0.60224"
"36","0.60201","0.60201","0.60201"
"37","0.60405","0.60405","0.60405"
"38","0.59071","0.59071","0.59071"
"39","0.59753","0.59753","0.59753"
"40","0.58206","0.58206","0.58206"
"41","0.58888","0.58888","0.58888"
"42","0.59314","0.59314","0.59314"
"43","0.57619","0.57619","0.57619"
"44","0.57493","0.57493","0.57493"
"45","0.57366","0.57366","0.57366"
"46","0.58404","0.58404","0.58404"
"47","0.57446","0.57446","0.57446"
"48","0.57238","0.57238","0.57238"
"49","0.57014","0.57014","0.57014"
"50","0.56681","0.56681","0.56681"
"51","0.56419","0.56419","0.56419"
"52","0.56904","0.56904","0.56904"
"53","0.56272","0.56272","0.56272"
"54","0.56337","0.56337","0.56337"
"55","0.56975","0.56975","0.56975"
"56","0.56367","0.56367","0.56367"
"57","0.55616","0.55616","0.55616"
"58","0.56186","0.56186","0.56186"
"59","0.54662","0.54662","0.54662"
"60","0.56079","0.56079","0.56079"
"61","0.55183","0.55183","0.55183"
"62","0.56276","0.56276","0.56276"
"63","0.55297","0.55297","0.55297"
"64","0.55225","0.55225","0.55225"
"65","0.54428","0.54428","0.54428"
"66","0.53094","0.53094","0.53094"
"67","0.53815","0.53815","0.53815"
"68","0.54577","0.54577","0.54577"
"69","0.55206","0.55206","0.55206"
"70","0.53714","0.53714","0.53714"
"71","0.54069","0.54069","0.54069"
"72","0.53987","0.53987","0.53987"
"73","0.53531","0.53531","0.53531"
"74","0.53181","0.53181","0.53181"
"75","0.53521","0.53521","0.53521"
"76","0.5272","0.5272","0.5272"
"77","0.52895","0.52895","0.52895"
"78","0.5258","0.5258","0.5258"
"79","0.52303","0.52303","0.52303"
"80","0.53294","0.53294","0.53294"
"81","0.51405","0.51405","0.51405"
"82","0.52148","0.52148","0.52148"
"83","0.52112","0.52112","0.52112"
"84","0.51958","0.51958","0.51958"
"85","0.51572","0.51572","0.51572"
"86","0.5154","0.5154","0.5154"
"87","0.51742","0.51742","0.51742"
"88","0.51025","0.51025","0.51025"
"89","0.52241","0.52241","0.52241"
"90","0.51381","0.51381","0.51381"
"91","0.51142","0.51142","0.51142"
"92","0.51004","0.51004","0.51004"
"93","0.50506","0.50506","0.50506"
"94","0.5082","0.5082","0.5082"
"95","0.5116","0.5116","0.5116"
"96","0.50856","0.50856","0.50856"
"97","0.50775","0.50775","0.50775"
"98","0.50994","0.50994","0.50994"
"99","0.50582","0.50582","0.50582"
"100","0.4987","0.4987","0.4987"
"101","0.49498","0.49498","0.49498"
"102","0.50087","0.50087","0.50087"
"103","0.49813","0.49813","0.49813"
"104","0.48904","0.48904","0.48904"
"105","0.50221","0.50221","0.50221"
"106","0.49021","0.49021","0.49021"
"107","0.48852","0.48852","0.48852"
"108","0.49003","0.49003","0.49003"
"109","0.48849","0.48849","0.48849"
"110","0.49764","0.49764","0.49764"
"111","0.47745","0.47745","0.47745"
"112","0.47693","0.47693","0.47693"
"113","0.47631","0.47631","0.47631"
"114","0.46847","0.46847","0.46847"
"115","0.46933","0.46933","0.46933"
"116","0.47293","0.47293","0.47293"
"117","0.46714","0.46714","0.46714"
"118","0.46477","0.46477","0.46477"
"119","0.46675","0.46675","0.46675"
"120","0.45775","0.45775","0.45775"
"121","0.4652","0.4652","0.4652"
"122","0.44888","0.44888","0.44888"
"123","0.45829","0.45829","0.45829"
"124","0.46415","0.46415","0.46415"
"125","0.46031","0.46031","0.46031"
"126","0.46329","0.46329","0.46329"
"127","0.45326","0.45326","0.45326"
"128","0.45288","0.45288","0.45288"
"129","0.44615","0.44615","0.44615"
"130","0.44798","0.44798","0.44798"
"131","0.45109","0.45109","0.45109"
"132","0.44509","0.44509","0.44509"
"133","0.45483","0.45483","0.45483"
"134","0.44491","0.44491","0.44491"
"135","0.43955","0.43955","0.43955"
"136","0.43909","0.43909","0.43909"
"137","0.4364","0.4364","0.4364"
"138","0.43907","0.43907","0.43907"
"139","0.43532","0.43532","0.43532"
"140","0.43838","0.43838","0.43838"
"141","0.43424","0.43424","0.43424"
"142","0.42948","0.42948","0.42948"
"143","0.42461","0.42461","0.42461"
"144","0.4192","0.4192","0.4192"
"145","0.41862","0.41862","0.41862"
"146","0.42829","0.42829","0.42829"
"147","0.41978","0.41978","0.41978"
"148","0.42399","0.42399","0.42399"
"149","0.42418","0.42418","0.42418"
"150","0.42165","0.42165","0.42165"