"Step","EXP00010 - train/loss","EXP00010 - train/loss__MIN","EXP00010 - train/loss__MAX"
"1","3.07805","3.07805","3.07805"
"2","1.98171","1.98171","1.98171"
"3","1.6044","1.6044","1.6044"
"4","1.41655","1.41655","1.41655"
"5","1.1848","1.1848","1.1848"
"6","1.06283","1.06283","1.06283"
"7","0.9988","0.9988","0.9988"
"8","0.94419","0.94419","0.94419"
"9","0.88878","0.88878","0.88878"
"10","0.87749","0.87749","0.87749"
"11","0.82911","0.82911","0.82911"
"12","0.81829","0.81829","0.81829"
"13","0.81261","0.81261","0.81261"
"14","0.78484","0.78484","0.78484"
"15","0.77278","0.77278","0.77278"
"16","0.74819","0.74819","0.74819"
"17","0.75619","0.75619","0.75619"
"18","0.7226","0.7226","0.7226"
"19","0.72042","0.72042","0.72042"
"20","0.72625","0.72625","0.72625"
"21","0.71011","0.71011","0.71011"
"22","0.71125","0.71125","0.71125"
"23","0.69425","0.69425","0.69425"
"24","0.67455","0.67455","0.67455"
"25","0.68776","0.68776","0.68776"
"26","0.68227","0.68227","0.68227"
"27","0.67455","0.67455","0.67455"
"28","0.67269","0.67269","0.67269"
"29","0.66177","0.66177","0.66177"
"30","0.65206","0.65206","0.65206"
"31","0.67108","0.67108","0.67108"
"32","0.66032","0.66032","0.66032"
"33","0.64984","0.64984","0.64984"
"34","0.65102","0.65102","0.65102"
"35","0.64728","0.64728","0.64728"
"36","0.64784","0.64784","0.64784"
"37","0.64521","0.64521","0.64521"
"38","0.63176","0.63176","0.63176"
"39","0.64011","0.64011","0.64011"
"40","0.62454","0.62454","0.62454"
"41","0.62919","0.62919","0.62919"
"42","0.62754","0.62754","0.62754"
"43","0.61809","0.61809","0.61809"
"44","0.61347","0.61347","0.61347"
"45","0.6151","0.6151","0.6151"
"46","0.62423","0.62423","0.62423"
"47","0.61176","0.61176","0.61176"
"48","0.62089","0.62089","0.62089"
"49","0.60296","0.60296","0.60296"
"50","0.61083","0.61083","0.61083"
"51","0.59953","0.59953","0.59953"
"52","0.60637","0.60637","0.60637"
"53","0.5976","0.5976","0.5976"
"54","0.60036","0.60036","0.60036"
"55","0.60354","0.60354","0.60354"
"56","0.6021","0.6021","0.6021"
"57","0.58806","0.58806","0.58806"
"58","0.59874","0.59874","0.59874"
"59","0.58797","0.58797","0.58797"
"60","0.59145","0.59145","0.59145"
"61","0.59022","0.59022","0.59022"
"62","0.59598","0.59598","0.59598"
"63","0.586","0.586","0.586"
"64","0.59517","0.59517","0.59517"
"65","0.58284","0.58284","0.58284"
"66","0.56747","0.56747","0.56747"
"67","0.5684","0.5684","0.5684"
"68","0.58678","0.58678","0.58678"
"69","0.59072","0.59072","0.59072"
"70","0.57953","0.57953","0.57953"
"71","0.57578","0.57578","0.57578"
"72","0.57674","0.57674","0.57674"
"73","0.57367","0.57367","0.57367"
"74","0.56517","0.56517","0.56517"
"75","0.56901","0.56901","0.56901"
"76","0.56329","0.56329","0.56329"
"77","0.56256","0.56256","0.56256"
"78","0.56611","0.56611","0.56611"
"79","0.56291","0.56291","0.56291"
"80","0.57012","0.57012","0.57012"
"81","0.55532","0.55532","0.55532"
"82","0.55698","0.55698","0.55698"
"83","0.556","0.556","0.556"
"84","0.55499","0.55499","0.55499"
"85","0.55251","0.55251","0.55251"
"86","0.55018","0.55018","0.55018"
"87","0.54873","0.54873","0.54873"
"88","0.54348","0.54348","0.54348"
"89","0.55776","0.55776","0.55776"
"90","0.54675","0.54675","0.54675"
"91","0.54507","0.54507","0.54507"
"92","0.54257","0.54257","0.54257"
"93","0.54232","0.54232","0.54232"
"94","0.54616","0.54616","0.54616"
"95","0.5424","0.5424","0.5424"
"96","0.54122","0.54122","0.54122"
"97","0.54379","0.54379","0.54379"
"98","0.53735","0.53735","0.53735"
"99","0.53798","0.53798","0.53798"
"100","0.53003","0.53003","0.53003"
"101","0.53029","0.53029","0.53029"
"102","0.53429","0.53429","0.53429"
"103","0.52917","0.52917","0.52917"
"104","0.51612","0.51612","0.51612"
"105","0.54327","0.54327","0.54327"
"106","0.53168","0.53168","0.53168"
"107","0.52356","0.52356","0.52356"
"108","0.5182","0.5182","0.5182"
"109","0.51988","0.51988","0.51988"
"110","0.52442","0.52442","0.52442"
"111","0.51462","0.51462","0.51462"
"112","0.50659","0.50659","0.50659"
"113","0.50566","0.50566","0.50566"
"114","0.50343","0.50343","0.50343"
"115","0.50042","0.50042","0.50042"
"116","0.50438","0.50438","0.50438"
"117","0.50492","0.50492","0.50492"
"118","0.49718","0.49718","0.49718"
"119","0.49724","0.49724","0.49724"
"120","0.48542","0.48542","0.48542"
"121","0.49178","0.49178","0.49178"
"122","0.47922","0.47922","0.47922"
"123","0.48739","0.48739","0.48739"
"124","0.49538","0.49538","0.49538"
"125","0.49513","0.49513","0.49513"
"126","0.49557","0.49557","0.49557"
"127","0.48349","0.48349","0.48349"
"128","0.4855","0.4855","0.4855"
"129","0.47575","0.47575","0.47575"
"130","0.48096","0.48096","0.48096"
"131","0.48365","0.48365","0.48365"
"132","0.48174","0.48174","0.48174"
"133","0.48517","0.48517","0.48517"
"134","0.47639","0.47639","0.47639"
"135","0.47354","0.47354","0.47354"
"136","0.4692","0.4692","0.4692"
"137","0.46579","0.46579","0.46579"
"138","0.46641","0.46641","0.46641"
"139","0.46415","0.46415","0.46415"
"140","0.4745","0.4745","0.4745"
"141","0.46198","0.46198","0.46198"
"142","0.46144","0.46144","0.46144"
"143","0.45934","0.45934","0.45934"
"144","0.45217","0.45217","0.45217"
"145","0.4525","0.4525","0.4525"
"146","0.45673","0.45673","0.45673"
"147","0.44785","0.44785","0.44785"
"148","0.45476","0.45476","0.45476"
"149","0.44996","0.44996","0.44996"
"150","0.45279","0.45279","0.45279"